"","Intercept::Est","Intercept::SE","Intercept::t.val","Experiment3:Est","Experiment3:SE","Experiment3:t.val","GroupsY:Est","GroupsY:SE","GroupsY:t.val","(Intercept):pval","Experiment3:pval","GroupsY:pval","(Intercept):pval.padj","Experiment3:pval.padj","GroupsY:pval.padj","Pathway"
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",9.31739159678675,0.736693597161908,14.0138372110423,-17.563747380567,0.878962036174229,-21.8890309867061,0.300392938370702,0.875322426187813,0.361622566486114,1.53454888666359e-07,2.59334810570611e-11,0.656511165989238,4.24910907336717e-05,9.69453600729864e-09,0.997594955724059,"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis"
"1CMET2-PWY: folate transformations III (E. coli)",-8.01270935899035,0.815068596594128,-10.4851416717577,17.2103417482868,0.972472620970257,19.0733553424657,0.312945068220158,0.968445801930147,0.356617799723068,4.17122562582431e-07,7.6755947925601e-11,0.647920505692638,0.00014268524562106,2.78167606027229e-08,1,"1CMET2-PWY: folate transformations III (E. coli)"
"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast",-5.87359808817778,1.97200446926608,-2.98681328464277,3.24612321176585,2.3528330778608,1.39540640746968,-0.48925045901173,2.3430904559794,-0.215251035253696,0.0103106050819792,0.213868765021188,0.768544326015162,0.941510791245266,1,1,"ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast"
"ANAEROFRUCAT-PWY: homolactic fermentation",7.91272332624038,0.270378464152665,29.3006641400434,1.15064024113083,0.322593282071185,3.57132093750788,0.0678651346433069,0.321257486345482,0.211718218301269,3.44067651804473e-17,0.00223810774871068,0.833630667916104,1.207900300635e-14,0.661751434149505,1,"ANAEROFRUCAT-PWY: homolactic fermentation"
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",9.2435482115824,0.146653601299622,63.2958793435936,0.844930634936403,0.174974980788749,4.8496022606132,0.185074728419282,0.174250443594601,1.06803635861358,2.84915092757308e-23,0.000169703083209177,0.316915661622406,1.16329101480955e-20,0.0555110237474211,1,"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)"
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",2.93513516106491,1.91836710857307,1.56885152418111,-7.21441637488831,2.28883740319854,-3.19360397315961,-3.25184156213466,2.27935977489707,-1.42967486948719,0.155809324611296,0.0103925441484002,0.198483711787087,1,0.857492838113316,1,"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",-6.55570474807305,1.48487161163547,-4.49426197678324,-1.73750103858404,1.77162633182705,-1.0148507171584,0.413861234629563,1.76429037347601,0.257080661778085,0.00143594725118981,0.394313183991797,0.728807064211462,0.176906198251291,1,1,"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-8.0228977059567,0.853783009455039,-9.90794514661867,12.7577333615159,1.01866346515379,13.3645330139721,0.216389408885787,1.01444537885657,0.17269842529475,6.55351248953981e-07,2.50381924691147e-08,0.702014963172114,0.000220091891858343,8.63830604599473e-06,1,"ARGININE-SYN4-PWY: L-ornithine biosynthesis II"
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",4.94534980067995,0.79227809635208,6.82720861505088,-13.3184009759222,0.945280875887426,-15.275016958468,0.43681802686816,0.941366652548699,0.574466723722228,0.000373181741144188,1.85332380414627e-08,0.584214301773481,0.0667053903235078,6.81223108938735e-06,0.999182734843911,"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis"
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",1.0496770522551,1.60768648388606,0.690606890247708,-8.733377603328,1.91815890738048,-4.65437081309317,-0.829754465907654,1.91021618627591,-0.433113019405258,0.527218674356861,0.00106066740225978,0.668106375350245,1,0.18002024426814,1,"ARGORNPROST-PWY: arginine, ornithine and proline interconversion"
