"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I","Groups","DY",1.54215974761919,0.526969450181834,0.00703038336343549,"GroupsDY",0.0195756183472904,30,16
"PWY.7282..4.amino.2.methyl.5.phosphomethylpyrimidine.biosynthesis..yeast.","Groups","DY",0.520231944395524,0.188488210270781,0.0104506940461617,"GroupsDY",0.0279285789164665,30,8
"PWY.3841..folate.transformations.II","Groups","DY",-0.21296890351174,0.0776946212490814,0.0109263751677132,"GroupsDY",0.0290329397313522,30,19
"PWY0.845..superpathway.of.pyridoxal.5..phosphate.biosynthesis.and.salvage","Groups","DY",1.5012376335123,0.551423917637301,0.0114144913394898,"GroupsDY",0.030243524061896,30,16
"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis","Groups","DY",-0.240737103339001,0.0902683850903054,0.0129950313265742,"GroupsDY",0.0342362015119378,30,19
"PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type","Groups","DY",1.14608620106707,0.433150822415247,0.0136431694318646,"GroupsDY",0.0358422247786273,30,20
"PYRIDNUCSYN.PWY..NAD.biosynthesis.I..from.aspartate.","Groups","DY",-0.258267076480901,0.0981546953907541,0.01411539994137,"GroupsDY",0.0369783716773917,30,19
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I","Groups","DY",-0.177024538404159,0.0703968271536228,0.0184345673713978,"GroupsDY",0.046587357759239,30,19
"TEICHOICACID.PWY..teichoic.acid..poly.glycerol..biosynthesis","Groups","DY",0.394559733708052,0.16100815653273,0.021303560166201,"GroupsDY",0.0528328292121786,30,11
"KETOGLUCONMET.PWY..ketogluconate.metabolism","Groups","DY",0.869755936067488,0.357890744990788,0.0222959904869236,"GroupsDY",0.0550007192382996,30,8
"PWY.5723..Rubisco.shunt","Groups","DY",1.48554308809851,0.613715267429871,0.0227819915402724,"GroupsDY",0.0560509315673368,30,12
"COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I","Groups","DY",0.34943236546748,0.144818329727134,0.0231751641410635,"GroupsDY",0.0567181648715502,30,9
"PWY.8004..Entner.Doudoroff.pathway.I","Groups","DY",0.740989416981281,0.308230225968501,0.0236384603612601,"GroupsDY",0.057700178834572,30,9
"PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria.","Groups","DY",0.427128801766589,0.181879356660268,0.0267341585560093,"GroupsDY",0.0635340212468466,30,12
"PWY0.1261..anhydromuropeptides.recycling","Groups","DY",0.152895758474874,0.0651273915876577,0.0267799315363053,"GroupsDY",0.0635340212468466,30,11
"PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation","Groups","DY",0.531578806752819,0.238149131171341,0.0344373804776097,"GroupsDY",0.0800669096104425,30,7
"PWY0.1241..ADP.L.glycero..beta..D.manno.heptose.biosynthesis","Groups","DY",-0.879491331220438,0.400080714656971,0.0370292960527876,"GroupsDY",0.0858784172795325,30,25
"P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.","Groups","DY",0.312552920743305,0.142504291045037,0.0374265708408002,"GroupsDY",0.086583857915284,30,4
"PWY.5941..glycogen.degradation.II..eukaryotic.","Groups","DY",-0.453834595337113,0.211820829464953,0.0416837709498134,"GroupsDY",0.0954825295155823,30,11
