"Pathway","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)",186.972538476811,26.5300853620518,2.93312057837863,9.04500331749644,1.49660626057648e-19,4.47138213608965e-17
"P162-PWY: L-glutamate degradation V (via hydroxyglutarate)",160.661776810931,26.3221775923131,2.9331315227947,8.97408704238166,2.85711318599977e-19,4.47138213608965e-17
"P161-PWY: acetylene degradation",57.2088775763977,24.8737762641468,2.93327214668023,8.47987333609601,2.25439231779898e-17,2.35208265157026e-15
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis",24.2134464310493,-24.2684117678327,2.93352589274545,-8.27277912489133,1.30872012501514e-16,9.13911954957687e-15
"PWY-6629: superpathway of L-tryptophan biosynthesis",22.1253154289215,-24.2305228585382,2.93357032551995,-8.25973819265561,1.45992325073113e-16,9.13911954957687e-15
"PWY-6895: superpathway of thiamin diphosphate biosynthesis II",25.0202511356128,23.7260545386371,2.93355309044526,8.08782176668768,6.07412019127226e-16,3.1686660331137e-14
"PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP",13.5417438303865,-23.5547025732302,2.93389740536843,-8.02846838820266,9.86970353483875e-16,4.41316743772076e-14
"PWY-6891: thiazole biosynthesis II (Bacillus)",11.8697795470568,22.6792399374002,2.93410626608783,7.72952234195643,1.07950863267571e-14,4.22357752534371e-13
"PWY-8131: 5'-deoxyadenosine degradation II",9.85424030507768,22.4242576410433,2.93432041323676,7.64206169847271,2.13770689125448e-14,7.43446952180723e-13
"PYRIDNUCSAL-PWY: NAD salvage pathway I",11.2106835837345,21.7794155247344,2.93416811168216,7.42268837222427,1.14766590317211e-13,3.59219427692872e-12
"GALACTITOLCAT-PWY: galactitol degradation",5.37165625900262,21.5707532743102,2.93537496932666,7.34855120715914,2.00366705773318e-13,5.70134353700442e-12
